Configuration,Instance,BestValue,ExecutionTime(s),Iterations,StoppingCriteria
STANDARD,n25p1.txt,130.23,0.04,112,NO_IMPROVEMENT
STANDARD+BEST,n25p1.txt,130.23,0.03,110,NO_IMPROVEMENT
STANDARD+TENURE,n25p1.txt,70.55,0.02,108,NO_IMPROVEMENT
STANDARD+DIVERSIFICATION,n25p1.txt,130.23,0.02,209,NO_IMPROVEMENT
STANDARD+INTENSIFICATION,n25p1.txt,130.23,0.05,108,NO_IMPROVEMENT
DIVERSIFICATION+BEST,n25p1.txt,130.23,0.03,107,NO_IMPROVEMENT
INTENSIFICATION+BEST,n25p1.txt,130.23,0.03,133,NO_IMPROVEMENT
DIVERSIFICATION+TENURE,n25p1.txt,124.38,0.01,112,NO_IMPROVEMENT
INTENSIFICATION+TENURE,n25p1.txt,113.39,0.03,133,NO_IMPROVEMENT
STANDARD,n25p2.txt,217.31,0.02,120,NO_IMPROVEMENT
STANDARD+BEST,n25p2.txt,295.03,0.02,110,NO_IMPROVEMENT
STANDARD+TENURE,n25p2.txt,231.27,0.02,109,NO_IMPROVEMENT
STANDARD+DIVERSIFICATION,n25p2.txt,265.52,0.02,115,NO_IMPROVEMENT
STANDARD+INTENSIFICATION,n25p2.txt,295.03,0.07,163,NO_IMPROVEMENT
DIVERSIFICATION+BEST,n25p2.txt,295.03,0.02,111,NO_IMPROVEMENT
INTENSIFICATION+BEST,n25p2.txt,295.03,0.06,112,NO_IMPROVEMENT
DIVERSIFICATION+TENURE,n25p2.txt,206.78,0.01,109,NO_IMPROVEMENT
INTENSIFICATION+TENURE,n25p2.txt,295.03,0.07,193,NO_IMPROVEMENT
STANDARD,n25p3.txt,159.49,0.03,121,NO_IMPROVEMENT
STANDARD+BEST,n25p3.txt,219.29,0.04,111,NO_IMPROVEMENT
STANDARD+TENURE,n25p3.txt,171.90,0.01,114,NO_IMPROVEMENT
STANDARD+DIVERSIFICATION,n25p3.txt,177.96,0.03,111,NO_IMPROVEMENT
STANDARD+INTENSIFICATION,n25p3.txt,219.29,0.09,163,NO_IMPROVEMENT
DIVERSIFICATION+BEST,n25p3.txt,219.29,0.05,164,NO_IMPROVEMENT
INTENSIFICATION+BEST,n25p3.txt,219.29,0.07,110,NO_IMPROVEMENT
DIVERSIFICATION+TENURE,n25p3.txt,116.14,0.01,113,NO_IMPROVEMENT
INTENSIFICATION+TENURE,n25p3.txt,219.29,0.08,163,NO_IMPROVEMENT
STANDARD,n50p1.txt,674.26,0.20,135,NO_IMPROVEMENT
STANDARD+BEST,n50p1.txt,695.30,0.23,117,NO_IMPROVEMENT
STANDARD+TENURE,n50p1.txt,530.25,0.12,131,NO_IMPROVEMENT
STANDARD+DIVERSIFICATION,n50p1.txt,670.10,0.14,130,NO_IMPROVEMENT
STANDARD+INTENSIFICATION,n50p1.txt,690.12,0.43,163,NO_IMPROVEMENT
DIVERSIFICATION+BEST,n50p1.txt,695.30,0.29,164,NO_IMPROVEMENT
INTENSIFICATION+BEST,n50p1.txt,695.30,0.36,116,NO_IMPROVEMENT
DIVERSIFICATION+TENURE,n50p1.txt,627.38,0.09,142,NO_IMPROVEMENT
INTENSIFICATION+TENURE,n50p1.txt,695.30,0.56,193,NO_IMPROVEMENT
STANDARD,n50p2.txt,576.26,0.52,156,NO_IMPROVEMENT
STANDARD+BEST,n50p2.txt,604.28,0.60,124,NO_IMPROVEMENT
STANDARD+TENURE,n50p2.txt,538.17,0.34,145,NO_IMPROVEMENT
STANDARD+DIVERSIFICATION,n50p2.txt,549.94,0.14,402,NO_IMPROVEMENT
STANDARD+INTENSIFICATION,n50p2.txt,604.28,0.83,135,NO_IMPROVEMENT
DIVERSIFICATION+BEST,n50p2.txt,556.20,0.55,127,NO_IMPROVEMENT
INTENSIFICATION+BEST,n50p2.txt,604.28,0.99,133,NO_IMPROVEMENT
DIVERSIFICATION+TENURE,n50p2.txt,555.55,0.21,348,NO_IMPROVEMENT
INTENSIFICATION+TENURE,n50p2.txt,604.28,1.36,193,NO_IMPROVEMENT
STANDARD,n50p3.txt,477.51,0.86,139,NO_IMPROVEMENT
STANDARD+BEST,n50p3.txt,519.60,0.74,121,NO_IMPROVEMENT
STANDARD+TENURE,n50p3.txt,359.13,0.31,134,NO_IMPROVEMENT
STANDARD+DIVERSIFICATION,n50p3.txt,497.87,0.48,239,NO_IMPROVEMENT
STANDARD+INTENSIFICATION,n50p3.txt,500.33,1.57,193,NO_IMPROVEMENT
DIVERSIFICATION+BEST,n50p3.txt,505.78,0.95,176,NO_IMPROVEMENT
INTENSIFICATION+BEST,n50p3.txt,402.58,0.89,113,NO_IMPROVEMENT
DIVERSIFICATION+TENURE,n50p3.txt,427.70,0.25,177,NO_IMPROVEMENT
INTENSIFICATION+TENURE,n50p3.txt,519.60,1.30,163,NO_IMPROVEMENT
STANDARD,n100p1.txt,1253.85,5.51,176,NO_IMPROVEMENT
STANDARD+BEST,n100p1.txt,1220.64,5.69,128,NO_IMPROVEMENT
